_id,bot,readyAt,timeoutStartedAt,timeoutWaitCount,exitStepsDone,exitAt,exitStatus,exitReason,retiredAt,retiredReason,createdAt,data.name,data.avatar,data.nameColor,data.bonus,data.clicked,data.timeClick,data.imageOrder,data.scoreIncrement,data.clickLength,data.rawScore,data.exitTimeoutId,data.exited
9sQixCo6CbEkDnDM3,,,,,,2021-06-29T15:22:12Z,gameFull,,2021-06-29T15:27:56Z,gameFull,2021-06-29T15:20:21Z,,,,,,,,,,,,
SKWQPkZ2HtvFefYTK,,2021-06-29T15:41:44Z,2021-06-29T15:41:44Z,1,ExitSurvey,2021-06-29T15:55:09Z,finished,,,,2021-06-29T15:28:02Z,Minu,/avatars/jdenticon/Alaina,#7ACC66,1.645,white_3,1923,"white_10,white_9,white_2,white_3,white_11,white_6",0.015,1,3,,
E3CeTe3jT38HfubvS,,,,,,2021-06-29T16:08:23Z,cancelled,adminCancelled,,,2021-06-29T15:28:45Z,,,,,,,,,,,,
pjA4f6As8cAmCxWap,,2021-06-29T15:35:45Z,2021-06-29T15:35:45Z,1,ExitSurvey,2021-06-29T15:55:09Z,finished,,,,2021-06-29T15:31:07Z,Laju,/avatars/jdenticon/Katherine,#3D45B7,1.8025000000000002,white_9,1894,"white_9,white_6,white_2,white_3,white_11,white_10",0.03,2,6,,
cThtpskLDmXpqdyAP,,,,,,2021-06-29T16:08:23Z,gameFull,,,,2021-06-29T15:31:51Z,,,,,,,,,,,,
RdPK8e4LCw5LqZBMr,,2021-06-29T15:47:59Z,2021-06-29T15:47:59Z,1,,2021-06-29T16:03:12Z,custom,It looks like one of your partners disconnected before you could finish the experiment!,,,2021-06-29T15:34:28Z,Laju,/avatars/jdenticon/Katherine,#3D45B7,0.10500000000000001,yellow_11,4292,"yellow_11,yellow_8,yellow_6,yellow_4,yellow_12,yellow_1",0.025,1,5,10762,true
PaLwLpZj4Zvfsn7gN,,2021-06-29T15:38:46Z,2021-06-29T15:38:46Z,1,ExitSurvey,2021-06-29T15:55:09Z,finished,,,,2021-06-29T15:34:40Z,Repi,/avatars/jdenticon/Samuel,#8138A8,1.7475,white_9,2834,"white_10,white_3,white_2,white_11,white_6,white_9",0.03,2,6,,
CtYHeSzgGLySWPJ7M,,2021-06-29T15:53:00Z,2021-06-29T15:53:00Z,1,,2021-06-29T16:02:00Z,custom,It looks like one of your partners disconnected before you could finish the experiment!,,,2021-06-29T15:42:45Z,Minu,/avatars/jdenticon/Alaina,#7ACC66,0.16749999999999998,false,false,"yellow_12,yellow_4,yellow_1,yellow_6,yellow_11,yellow_8",0.06,1,12,4635,true
77bwzC5dryaJr5pmL,,2021-06-29T15:57:50Z,2021-06-29T15:57:50Z,1,,2021-06-29T16:02:00Z,custom,It looks like one of your partners disconnected before you could finish the experiment!,,,2021-06-29T15:52:23Z,Repi,/avatars/jdenticon/Samuel,#8138A8,0.15749999999999997,false,false,"yellow_11,yellow_6,yellow_12,yellow_8,yellow_4,yellow_1",0.045,1,9,2442,true
instgY2Z5xNN633zM,,,,,,2021-06-29T16:08:23Z,gameFull,,,,2021-06-29T16:03:15Z,,,,,,,,,,,,
